id,latitude,longitude
1,40.741497,-87.062054
2,40.741487,-87.062063
3,40.741463,-87.062063
4,40.741443,-87.06206
5,40.741424,-87.06206
6,40.741403,-87.062048
7,40.741391,-87.062054
8,40.741453,-87.062054
9,40.741339,-87.062054
10,40.741324,-87.062054
11,40.741309,-87.062051
12,40.741296,-87.062051
13,40.741285,-87.062043
14,40.74127,-87.06196
15,40.741255,-87.062043
16,40.741326,-87.062051
17,40.741215,-87.061956
18,40.741192,-87.062051
19,40.741185,-87.062051
20,40.741245,-87.062051
21,40.741116,-87.062042
22,40.741098,-87.062051
23,40.741088,-87.062051
24,40.741057,-87.06204
25,40.741038,-87.06204
26,40.741012,-87.061952
27,40.740985,-87.062042
28,40.740951,-87.06204
29,40.740923,-87.062037
30,40.740888,-87.062034
31,40.740861,-87.061935
32,40.740821,-87.061932
33,40.740797,-87.062022
34,40.740762,-87.062019
35,40.740732,-87.062017
36,40.74071,-87.062014
37,40.740686,-87.061916
38,40.740752,-87.062005
39,40.740734,-87.061999
40,40.740718,-87.061997
41,40.740595,-87.061994
42,40.740589,-87.061985
43,40.740655,-87.061898
44,40.740543,-87.061985
45,40.740528,-87.061976
46,40.740523,-87.061985
47,40.740504,-87.061985
48,40.740493,-87.061977
49,40.740482,-87.061887
50,40.740469,-87.061985
51,40.740467,-87.061985
52,40.740457,-87.061985
53,40.740433,-87.061985
54,40.74042,-87.061985
55,40.740409,-87.061976
56,40.740402,-87.061988
57,40.740383,-87.061986
58,40.740374,-87.061996
59,40.84032,-87.061999
60,40.740362,-87.061999
61,40.740341,-87.062002
62,40.740339,-87.062002
63,40.740415,-87.062002
64,40.740309,-87.062005
65,40.740296,-87.062005
66,40.740295,-87.062008
67,40.740289,-87.062008
68,40.74027,-87.062011
69,40.740259,-87.062002
70,40.740248,-87.062011
71,40.74024,-87.062003
72,40.740229,-87.062003
73,40.740231,-87.062002
74,40.740222,-87.061982
75,40.740222,-87.061971
76,40.740231,-87.061951
77,40.740315,-87.061942
78,40.740222,-87.061922
79,40.740222,-87.061905
80,40.740231,-87.061788
81,40.74022,-87.06187
82,40.740216,-87.061848
83,40.740211,-87.061828
84,40.740218,-87.061805
85,40.740308,-87.061793
86,40.740209,-87.061753
87,40.740209,-87.061736
88,40.740217,-87.061624
89,40.740305,-87.061614
90,40.740209,-87.061687
91,40.740209,-87.06167
92,40.740209,-87.061653
93,40.740209,-87.061633
94,40.740209,-87.061616
95,40.740211,-87.061601
96,40.740222,-87.061587
97,40.740221,-87.061561
98,40.740214,-87.061547
99,40.740214,-87.061533
100,40.740214,-87.061518
101,40.740223,-87.061501
102,40.740216,-87.061487
103,40.740216,-87.061467
104,40.740218,-87.061453
105,40.74022,-87.061341
106,40.740222,-87.061424
107,40.740229,-87.06139
108,40.740229,-87.061291
109,40.740233,-87.061375
110,40.740242,-87.061364
111,40.740235,-87.061256
112,40.74024,-87.061332
113,40.740242,-87.061309
114,40.740252,-87.061276
115,40.740244,-87.061264
116,40.740244,-87.061244
117,40.740244,-87.061224
118,40.740252,-87.061198
119,40.740244,-87.061186
120,40.740244,-87.061169
121,40.740244,-87.061152
122,40.740244,-87.061123
123,40.74024,-87.061103
124,40.740238,-87.061078
125,40.740233,-87.061072
126,40.740229,-87.061055
127,40.740227,-87.061038
128,40.740225,-87.061035
129,40.740222,-87.061023
130,40.74022,-87.061012
131,40.740218,-87.061
132,40.740313,-87.060989
133,40.740207,-87.060975
134,40.740201,-87.06096
135,40.740196,-87.06094
136,40.740192,-87.060926
137,40.74019,-87.060906
138,40.740284,-87.060886
139,40.740274,-87.06086
140,40.740183,-87.060742
141,40.740183,-87.06082
142,40.740183,-87.060786
143,40.740183,-87.060783
144,40.740183,-87.060749
145,40.740186,-87.060743
146,40.740188,-87.060723
147,40.740188,-87.060709
148,40.740281,-87.060703
149,40.74019,-87.060683
150,40.74019,-87.060578
151,40.74019,-87.060643
152,40.740198,-87.06064
153,40.74019,-87.060628
154,40.74019,-87.060611
155,40.74019,-87.060602
156,40.740196,-87.060495
157,40.740186,-87.06058
158,40.740192,-87.060568
159,40.740183,-87.060557
160,40.740183,-87.060545
161,40.740183,-87.060435
162,40.740183,-87.060517
163,40.740183,-87.060499
164,40.740183,-87.060462
165,40.740183,-87.060436
166,40.740181,-87.060411
167,40.740179,-87.060386
168,40.740179,-87.060366
169,40.740179,-87.060359
170,40.740271,-87.060336
171,40.740182,-87.060319
172,40.740173,-87.060305
173,40.740267,-87.060293
174,40.740177,-87.060274
175,40.740179,-87.060176
176,40.740177,-87.060259
177,40.740194,-87.060236
178,40.740292,-87.060233
179,40.740203,-87.060227
180,40.740212,-87.060213
181,40.74023,-87.060208
182,40.740236,-87.060207
183,40.740252,-87.060194
184,40.740257,-87.060202
185,40.740268,-87.060202
186,40.740277,-87.060205
187,40.740288,-87.06021
188,40.740303,-87.060216
189,40.740314,-87.060222
190,40.740334,-87.060225
191,40.740335,-87.060227
192,40.740352,-87.06023
193,40.740357,-87.060136
194,40.74037,-87.060225
195,40.740385,-87.060233
196,40.740482,-87.060233
197,40.740403,-87.060233
198,40.740413,-87.06023
199,40.740429,-87.06023
200,40.740444,-87.06023
201,40.740459,-87.06023
202,40.740482,-87.06023
203,40.740485,-87.06023
204,40.740498,-87.060223
205,40.740513,-87.06023
206,40.740528,-87.060131
207,40.740545,-87.060222
208,40.740559,-87.06023
209,40.740668,-87.060233
210,40.74058,-87.060233
211,40.740591,-87.060233
212,40.740606,-87.060233
213,40.740709,-87.060233
214,40.740626,-87.060233
215,40.740733,-87.060233
216,40.740654,-87.060225
217,40.740667,-87.060233
218,40.740678,-87.060233
219,40.740694,-87.060233
220,40.740697,-87.060225
221,40.740814,-87.060138
222,40.740731,-87.060138
223,40.740734,-87.060138
224,40.740754,-86.960356
225,40.740763,-87.060239
226,40.740773,-87.060239
227,40.740782,-87.060231
228,40.740793,-87.060239
229,40.740802,-87.060239
230,40.740819,-87.060231
231,40.740828,-87.060239
232,40.740855,-87.060239
233,40.740862,-87.060239
234,40.740878,-87.060231
235,40.740877,-87.060239
236,40.74089,-87.060143
237,40.740906,-87.060227
238,40.740917,-87.060146
239,40.740925,-87.060236
240,40.74094,-87.060236
241,40.740951,-87.060236
242,40.741063,-87.060239
243,40.740982,-87.060245
244,40.740999,-87.060239
245,40.741018,-87.060251
246,40.741046,-87.060256
247,40.741053,-87.060256
248,40.741079,-87.060251
249,40.741083,-87.060259
250,40.741097,-87.060259
251,40.74111,-87.060259
252,40.741123,-87.060259
253,40.741133,-87.060259
